Group,Subgroup,Language,Number of speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error.1
Total,Total,Total Speakers,"291,484,482","3,346","25,148,900","63,553"
English,English,English,"231,122,908","108,816",(X),(X)
SPANISH AND SPANISH CREOLE,SPANISH AND SPANISH CREOLE,Spanish,"37,458,470","64,494","16,344,440","40,610"
SPANISH AND SPANISH CREOLE,SPANISH AND SPANISH CREOLE,Ladino,130,62,25,23
SPANISH AND SPANISH CREOLE,SPANISH AND SPANISH CREOLE,Pachuco,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,"1,253,560","10,278","258,730","4,421"
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,"32,900","1,658","4,695",558
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Cajun,"21,285","1,152","2,695",344
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,"739,725","11,244","323,689","6,652"
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,"708,966","7,910","191,724","3,380"
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,"692,500","9,692","269,615","5,681"
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Papia Mentae,970,244,190,98
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,"1,063,275","9,084","174,735","2,679"
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),Luxembourgian,500,160,25,23
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,"155,582","4,119","53,116","2,156"
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,"133,190","4,050","44,075","1,856"
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,"141,580","3,609","25,030","1,466"
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,"23,010","1,525","1,885",318
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Frisian,510,171,120,65
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,"55,735","2,458","5,045",494
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,"28,285","1,453","3,030",479
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,"39,430","1,684","4,675",483
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,"4,865",552,565,161
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Faroese,30,32,(B),--
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,"304,932","5,423","75,799","2,576"
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,"879,434","11,909","416,526","6,732"
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,"580,153","7,412","235,241","3,866"
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,"144,675","5,055","62,965","2,703"
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,"53,040","2,104","15,930","1,057"
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,"70,260","3,323","24,540","1,549"
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bielorussian,"1,805",410,"1,035",261
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,"152,325","4,959","71,915","2,753"
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,"47,385","2,026","11,235",977
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Lusatian,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,"27,930","1,486","7,125",749
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,"57,785","2,567","19,455","1,382"
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,"22,885","1,707","8,125",789
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovene,"6,370",622,"1,705",285
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,"237,840","5,378","106,794","2,839"
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,"391,113","7,265","144,876","3,812"
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,"643,337","9,342","132,631","3,943"
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,"373,253","7,314","132,572","4,200"
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,"397,502","9,850","116,566","3,583"
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,"61,385","3,120","20,575","1,553"
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,"257,740","5,364","105,180","2,827"
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,"253,740","7,521","104,750","3,479"
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,"73,630","3,164","10,525","1,018"
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bihari,595,305,260,258
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Rajasthani,715,420,215,142
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Oriya,"5,385",610,910,259
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Assamese,"1,305",322,100,57
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Kashmiri,"1,775",490,285,152
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,"94,220","4,413","56,650","3,282"
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,"8,965","1,125","1,775",370
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,"12,605","1,511","5,145",765
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,"26,745","1,927","8,350",989
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Romany,"1,555",457,480,226
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,"21,965","1,558","5,965",794
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,"10,560","1,240","2,820",718
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Hawaiian Pidgin,365,210,30,25
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pidgin,"4,445",636,"1,100",352
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Gullah,385,143,150,82
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Saramacca,35,42,(B),--
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Catalonian,"2,325",375,500,153
